id,name,album,artists,url
691,Feeling It  Pt. 3 - Mixed,Exploration Radio Episode 7: The Rocketman Best Of 2021,The Rocketman,https://i.scdn.co/image/ab67616d00001e0255e22ba70342e8031da79c33
692,Chains Of Agony,Chains Of Agony,Azulo,https://i.scdn.co/image/ab67616d00001e021e028250400620bab33b51fc
693,False Reality,False Reality,Azulo,https://i.scdn.co/image/ab67616d00001e02b807bb9570b53ea3aa52788e
694,Your Love Is Cheap,Your Love Is Cheap,Ace McGuire's Acid Tabs,https://i.scdn.co/image/ab67616d00001e02129a2c935713701571c075c2
695,Intro,Everything Must Go,The Layaways,https://i.scdn.co/image/ab67616d00001e02dc8a359e5113b0c69eccdc37
696,Shark Killer,Shark Killer,Grizzly Madams,https://i.scdn.co/image/ab67616d00001e02186f6bd80ed51478935fd2c9
697,That Boy's a Beast,That Boy's a Beast,Supervillain,https://i.scdn.co/image/ab67616d00001e02a10175fdf7a20486605b00a6
698,Other Room,Other Room,Grizzly Madams,https://i.scdn.co/image/ab67616d00001e02312ee7fa37a960c6bd2fead7
699,luv of my life,EKKSTACY,EKKSTACY,https://i.scdn.co/image/ab67616d00001e02436251d2dd97450587c582ec
700,Say Yes,Either/Or,Elliott Smith,https://i.scdn.co/image/ab67616d00001e02ea7ac80765aa4549d18a27b9
701,Down Through,Down Through,Gleemer,https://i.scdn.co/image/ab67616d00001e02a406659e40d238040a15ba54
702,L'homme des tavernes,L'homme des tavernes,Jungle Jack,https://i.scdn.co/image/ab67616d00001e02191e8d714b4340b9150a0073
703,DaBaby,DaBaby,Earvin,https://i.scdn.co/image/ab67616d00001e0286595a14f0656e7973beb215
704,We Go On Walks,Lean Into Life,Petey,https://i.scdn.co/image/ab67616d00001e022710715932a24919f85a4831
705,en pierre,4h16,abel31,https://i.scdn.co/image/ab67616d00001e02c07505062288309077909646
706,Bora Bora - A COLORS SHOW,Bora Bora - A COLORS SHOW,Zequin,https://i.scdn.co/image/ab67616d00001e0208495f4f831289d8c91b52d8
707,Matrix,Matrix,Josman,https://i.scdn.co/image/ab67616d00001e02e0541641a2a32591fed00d76
708,Falling,Falling,1nonly,https://i.scdn.co/image/ab67616d00001e022ebfbf8063d17b666584120d
709,Wrapped Around Your Finger,Twelve Carat Toothache (Deluxe),Post Malone,https://i.scdn.co/image/ab67616d00001e0249081408213aac8b6e75e016
710,Rise,Azure Ray,Azure Ray,https://i.scdn.co/image/ab67616d00001e02845c80b3f4d7f95b099889c0
711,ELLE PLEURE EN HIVER,ELLE PLEURE EN HIVER,Moji x Sboy,https://i.scdn.co/image/ab67616d00001e0257cf0ce7f4b758c72cdb825e
712,pure,plague town,8485,https://i.scdn.co/image/ab67616d00001e027b0736d8c70ab4d277152761
713,Morning Breeze,Morning Breeze,Selms,https://i.scdn.co/image/ab67616d00001e028dec9554e830e315c6caae43
714,In The Mirror,Lonely Life No Forever,Yunggoth✰,https://i.scdn.co/image/ab67616d00001e028fc80d62137ef3254efc57cf
715,NIQUE UN FACHO,OÙ EST PASSÉ ZEUDOG ?,sean,https://i.scdn.co/image/ab67616d00001e02428806783dbec3734e589b5b
716,Frenzy,Queen of the Banshees,Sara Landry,https://i.scdn.co/image/ab67616d00001e028a7be2e43dd6374d72ce67d0
717,Demon Risers,Demon Risers,Vendex,https://i.scdn.co/image/ab67616d00001e026c6645519ea7727ae067f46f
718,MyHeart ItHurts (feat. Chsr),TheManInTheRadiator,BONES,https://i.scdn.co/image/ab67616d00001e02a4d510a89d93fe4b9d87631f
719,CtrL (Vendex Remix),CtrL (Vendex Remix),HIPPØ & THE JACKET,https://i.scdn.co/image/ab67616d00001e027d6156bd70e58b80928d1dc9
720,Lethe,The Gallery,Dark Tranquillity,https://i.scdn.co/image/ab67616d00001e02834c652f53bee8463c379b4d
721,abso skit part 2,Les yeux grands fermés,ABSOLEM,https://i.scdn.co/image/ab67616d00001e02e95708da015670dcd30123ac
731,10/10,10/10,Hankock,https://i.scdn.co/image/ab67616d00001e0232ae38cf2053fd2e19faf94a
732,Vite Fait 2,Vite Fait 2,Tedax Max,https://i.scdn.co/image/ab67616d00001e02cb5c488c73cc4901096f4e04
733,TRUMAN BURBANK EN OCTANTE QUATRE,EGO DISS,joaqm,https://i.scdn.co/image/ab67616d00001e022ed0161e2278c6414e8d00f7
734,N°5 - interlude,POUR DE VRAI,NeS,https://i.scdn.co/image/ab67616d00001e02d40c4f527af5dd2b9146ff6f
735,Seasons Change,Seasons Change,Yunggoth✰,https://i.scdn.co/image/ab67616d00001e02a9dba49d9395d06593375eff
736,Unknown Call Freestyle,Unknown Call Freestyle,Wavy Jone$,https://i.scdn.co/image/ab67616d00001e02cbdbb02ec3a4ec9ef4981649
737,LA FIN DE L'HISTOIRE,LA FIN DE L'HISTOIRE,Moji x Sboy,https://i.scdn.co/image/ab67616d00001e0260a156ba907be791bffbe9a1
738,16,The Melodic Blue,Baby Keem,https://i.scdn.co/image/ab67616d00001e021bfa23b13d0504fb90c37b39
740,Lets go,Brilletje,Karashnikov,https://i.scdn.co/image/ab67616d00001e0206712d7f85f8b584165df9ad
741,World of Strobe,World of Strobe,AIROD,https://i.scdn.co/image/ab67616d00001e0264a8a7f7f7c4959fe3f6ccaa
